Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1659038140089,1,1010123456007,70,,0,0,0,1,0,,0.404624,173,0,0.261152,46,0,1.5,,0.1,101,148825,0.1,30,60,0,1.65228,40,,2402,2381,,0,0,0,7.40594
1659038140340,1,1010123456007,70,,0,0,0,1,0,,1.91209,91,0,0.210837,34,0,2.66667,,0.1,167,0,0.1,51,76.4706,0,0.885914,40,,1088,1087,,0,0,0,8.53294
1659038140589,1,1010123456007,70,,0,0,0,1,0,,0.589147,129,0,0.219823,36,0,1.66667,,0.1,94,0,0.1,28,75,0,1.00581,40,,1822,1808,,0,0,0,8.68085
1659038140839,1,1010123456007,70,,0,0,0,1,0,,0.1,115,174,0.177152,36,0,1.5,,0.1,106,0,0.1,31,67.7419,0,1.19424,40,,1646,1632,,0,0,0,7.65094
1659038141089,1,1010123456007,70,,0,0,0,1,0,,0.361702,94,0,0.177317,33,0,1.83333,,0.1,95,0,0.1,28,71.4286,0,0.84847,40,,1282,1275,,0,0,0,8.2
1659038141339,1,1010123456007,70,,0,0,0,1,0,,0.1,117,0,0.181558,35,0,1.5,,0.988636,88,0,0.1,26,80.7692,0,0.918113,40,,1638,1635,,0,0,0,8.80682
1659038141590,1,1010123456007,70,,0,0,0,1,0,,0.1,125,0,0.15872,30,0,2.33333,,0.23301,103,0,0.1,30,76.6667,0,1.18846,40,,1836,1832,,0,0,0,8.53398
1659038141839,1,1010123456007,70,,0,0,0,1,0,,0.1,112,0,0.213558,41,0,1.42857,,0.1,162,0,0.1,48,75,0,1.09648,40,,1531,1525,,0,0,0,8.48765
1659038142089,1,1010123456007,70,,0,0,0,1,0,,0.1,92,0,0.140416,28,0,1.5,,0.1,95,0,0.1,29,75.8621,0,1.12308,40,,1277,1269,,0,0,0,8.30526
1659038142339,1,1010123456007,70,,0,0,0,1,0,,0.1,123,767,0.169831,32,0,0.666667,,0.1,79,0,0.1,24,70.8333,0,1.24698,40,,1783,1779,,0,0,0,8.20253
1659038142589,1,1010123456007,70,,0,0,0,1,0,,0.1,119,665,0.180992,36,0,1.6,,0.1,66,0,0.1,20,75,0,1.41793,40,,1645,1637,,0,0,0,8.25758
1659038142839,1,1010123456007,70,,0,0,0,1,0,,0.1,118,0,0.194656,39,0,1,,0.920792,101,0,0.1,29,89.6552,0,0.699508,40,,1532,1510,,0,0,0,9.75247
1659038143089,1,1010123456007,70,,0,0,0,1,0,,1.23288,73,0,0.183197,22,0,2.83333,,0.1,42,0,0.1,13,84.6154,0,0.857577,40,,967,972,,0,0,0,8.57143
1659038143340,1,1010123456007,70,,0,0,0,1,0,,0.1,36,0,0.053792,11,0,2,,0.1,26,0,0.1,8,62.5,0,1.22583,40,,487,487,,0,0,0,7.69231
1659038143589,1,1010123456007,70,,0,0,0,1,0,,0.285714,252,0,0.418024,75,0,2.83333,,0.925373,134,0,0.1,39,84.6154,0,0.893244,40,,3669,3652,,0,0,0,8.93284
1659038143839,1,1010123456007,70,,0,0,0,1,0,,1.50943,53,0,0.126265,18,0,2.14286,,0.1,65,0,0.1,20,75,0,1.02092,40,,758,747,,0,0,0,8.29231
1659038144089,1,1010123456007,70,,0,0,0,1,0,,0.1,33,0,0.049792,10,0,1.16667,,0,27,0,0,9,100,0,0,0,,455,450,,0,0,0,0
