Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1658348484238,1,1010123456007,70,,0,0,0,1,0,,0.1,25,0,0.023392,7,0,1.33333,,10.5,28,0,0.1,8,0,0,19.6352,40,,207,213,,0,0,0,2.28571
1658348484488,1,1010123456007,70,,0,0,0,1,0,,0.574713,87,0,0.13104,25,0,2.28571,,10,42,0,0.119872,12,0,0,16.7304,40,,1032,1044,,0,0,0,3.35714
1658348484739,1,1010123456007,70,,0,0,0,1,0,,0.254902,102,1169,0.159712,29,0,1,,9.69231,39,0,0.1,12,41.6667,0,11.1602,40,,1438,1438,,0,0,0,5.38462
1658348484988,1,1010123456007,70,,0,0,0,1,0,,0.1,115,0,0.184835,35,0,0.5,,7.72727,22,0,0.1,6,0,0,13.4424,40,,1576,1563,,0,0,0,2.22727
1658348485238,1,1010123456007,70,,0,0,0,1,0,,0.1,36,0,0.0568,11,0,2.16667,,0,5,0,0.1,2,0,0,0,40,,510,514,,0,0,0,0
1658348485488,1,1010123456007,70,,0,0,0,1,0,,0.1,4,0,0.003616,1,0,1,,6.68421,19,0,0.1,5,20,0,11.0531,40,,31,33,,0,0,0,4.15789
1658348485738,1,1010123456007,70,,0,0,0,1,0,,0.1,35,0,0.0533976,10,0,1.66667,,0,0,0,0,0,0,0,0,0,,479,481,,0,0,0,0
1658348485988,1,1010123456007,70,,0,0,0,1,0,,0,3,0,0.00363052,1,0,1.16667,,0,0,0,0,0,0,0,0,0,,31,33,,0,0,0,0
1658348486238,1,1010123456007,70,,0,0,0,1,0,,0,5,0,0.0086747,2,0,1,,11.5714,7,0,0.1,2,0,0,13.9886,40,,74,78,,0,0,0,5.57143
1658348486488,1,1010123456007,70,,0,0,0,1,0,,0.1,6,0,0.00726104,2,0,1.57143,,10.25,24,0,0.1,7,14.2857,0,15.1829,40,,62,66,,0,0,0,3.91667
