Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1658343900061,1,1010123456007,70,,0,0,0,1,0,,0.382353,34,0,0.00981673,11,0,2,,11.1739,46,0,0.11557,13,0,0,18.972,40,,63,78,,0,0,0,1.73913
1658343900310,1,1010123456007,70,,0,0,0,1,0,,0.1,8,0,0.00257028,2,0,1,,11.5714,14,0,0.1,4,0,0,19.7984,40,,20,24,,0,0,0,1.42857
1658343900560,1,1010123456007,70,,0,0,0,1,0,,0,0,0,0,0,0,2.14286,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1658343900811,1,1010123456007,70,,0,0,0,1,0,,0,0,0,0,0,0,0.666667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1658343901060,1,1010123456007,70,,0,0,0,1,0,,0,0,0,0,0,0,1.5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1658343901310,1,1010123456007,70,,0,0,0,1,0,,0,0,0,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1658343901560,1,1010123456007,70,,0,0,0,1,0,,0,0,0,0,0,0,2.85714,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1658343901810,1,1010123456007,70,,0,0,0,1,0,,0,0,0,0,0,0,3.16667,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1658343902061,1,1010123456007,70,,0,0,0,1,0,,0,0,0,0,0,0,3,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1658343902310,1,1010123456007,70,,0,0,0,1,0,,0,0,0,0,0,0,3,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1658343902560,1,1010123456007,70,,0,0,0,1,0,,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
