Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1659036332211,2,1010123456007,72,,0,0,0,1,0,,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1659036332211,2,1010123456007,81,,0,0,0,1,0,,0.1,180,0,0.299213,59,0,1.66667,,3.73,100,0,0.1,30,63.3333,0,2.65146,40,,2439,2421,,0,0,0,7.04
1659036332461,2,1010123456007,72,,0,0,0,1,0,,0,0,0,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1659036332461,2,1010123456007,81,,0,0,0,1,0,,0.1,117,0,0.181856,36,0,1.83333,,8.35294,102,0,0.1,30,66.6667,0,5.6986,40,,1610,1612,,0,0,0,7.08824
1659036332712,2,1010123456007,72,,0,0,0,1,0,,0,0,0,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1659036332712,2,1010123456007,81,,0,0,0,1,0,,0.1,117,0,0.18352,35,0,1.42857,,5.41346,104,0,0.1,30,70,0,3.53197,40,,1663,1659,,0,0,0,7.50961
1659036332961,2,1010123456007,72,,0,0,0,1,0,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1659036332961,2,1010123456007,81,,0,0,0,1,0,,0.1,102,833,0.143357,28,0,1.16667,,4.12057,141,0,0.1,43,76.7442,0,3.14655,40,,1486,1491,,0,0,0,8.02837
1659036333211,2,1010123456007,72,,0,0,0,1,0,,0,0,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1659036333211,2,1010123456007,81,,0,0,0,1,0,,0.1,124,101,0.207229,40,0,1.33333,,2.55769,104,0,0.1,30,73.3333,0,1.64512,40,,1667,1666,,0,0,0,8.07692
1659036333461,2,1010123456007,72,,0,0,0,1,0,,0,0,0,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1659036333461,2,1010123456007,81,,0,0,0,1,0,,0.54,100,0,0.182426,30,0,1.4,,3.68182,88,0,0.1,26,69.2308,0,3.25693,40,,1420,1422,,0,0,0,7.63636
1659036333711,2,1010123456007,72,,0,0,0,1,0,,0,0,0,0,0,0,8,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1659036333711,2,1010123456007,81,,0,0,0,1,0,,0.171875,128,0,0.19608,37,0,1.85714,,5.43011,93,0,0.1,28,64.2857,0,4.27938,40,,1689,1693,,0,0,0,7.36559
1659036333961,2,1010123456007,72,,0,0,0,1,0,,0,0,0,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1659036333961,2,1010123456007,81,,0,0,0,1,0,,0.278689,122,0,0.19472,37,0,1.66667,,9.70874,103,0,0.1,30,66.6667,0,6.04774,40,,1616,1603,,0,0,0,7.16505
1659036334211,2,1010123456007,72,,0,0,0,1,0,,0,0,0,0,0,0,10.5,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1659036334211,2,1010123456007,81,,0,0,0,1,0,,0.1,118,0,0.177056,35,0,1.6,,6.18812,101,0,0.1,30,70,0,4.55417,40,,1607,1601,,0,0,0,7.44554
1659036334461,2,1010123456007,72,,0,0,0,1,0,,0,0,0,0,0,0,11,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1659036334461,2,1010123456007,81,,0,0,0,1,0,,0.1,159,0,0.196672,40,0,1.66667,,6.35849,106,0,0.1,30,66.6667,0,5.01075,40,,2175,2171,,0,0,0,7.0566
1659036334711,2,1010123456007,72,,0,0,0,1,0,,0,0,0,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1659036334711,2,1010123456007,81,,0,0,0,1,0,,0.1,108,0,0.197856,39,0,1,,6.90526,95,0,0.1,28,60.7143,0,4.47389,40,,1405,1397,,0,0,0,7.08421
1659036334961,2,1010123456007,72,,0,0,0,1,0,,0,0,0,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1659036334961,2,1010123456007,81,,0,0,0,1,0,,0.1,156,0,0.25343,48,0,0.333333,,0.651163,129,0,0.1,38,73.6842,0,2.31536,40,,2285,2282,,0,0,0,7.99225
1659036335211,2,1010123456007,72,,0,0,0,1,0,,0,0,0,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
