Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1658347167619,1,1010123456007,70,,0,0,0,1,0,,0,3,0,0.0024,1,0,6.5,,3.14286,7,0,0.1,2,0,0,8.33395,40,,4,6,,0,0,0,1
1658347167869,1,1010123456007,70,,0,0,0,1,0,,10.2273,22,0,0.020768,7,0,7,,3.04651,43,0,0.108672,12,0,0,7.57655,40,,27,33,,0,0,0,1.30233
1658347168119,1,1010123456007,70,,0,0,0,1,0,,5,4,0,0.002016,1,0,6,,2.28571,7,0,0.1,2,0,0,7.94105,40,,3,6,,0,0,0,1
1658347168369,1,1010123456007,70,,0,0,0,1,0,,5,7,0,0.004032,2,0,6,,2.71429,14,0,0.1,4,0,0,8.41365,40,,6,12,,0,0,0,1
1658347168619,1,1010123456007,70,,0,0,0,1,0,,5,4,0,0.002016,1,0,6,,5.28571,7,0,0.1,2,0,0,7.77975,40,,3,6,,0,0,0,1
1658347168869,1,1010123456007,70,,0,0,0,1,0,,5,12,0,0.006048,3,0,6,,2.09524,21,0,0.1,6,0,0,7.11747,40,,9,18,,0,0,0,1.19048
1658347169119,1,1010123456007,70,,0,0,0,1,0,,5,4,0,0.002016,1,0,6,,0.1,7,0,0.1,2,0,0,4.67745,40,,5,6,,0,0,0,1
1658347169369,1,1010123456007,70,,0,0,0,1,0,,5,8,0,0.004032,2,0,6,,1.14286,14,0,0.1,4,0,0,6.40291,40,,6,12,,0,0,0,1
1658347169619,1,1010123456007,70,,0,0,0,1,0,,0,2,0,0.002016,1,0,6,,2,7,0,0.1,2,0,0,9.07749,40,,3,6,,0,0,0,1
1658347169869,1,1010123456007,70,,0,0,0,1,0,,9.2,10,0,0.006048,3,0,6.71429,,2.71429,21,0,0.1,6,0,0,7.50597,40,,8,12,,0,0,0,1.28571
1658347170119,1,1010123456007,70,,0,0,0,1,0,,11,4,0,0.002016,1,0,7.16667,,3.14286,7,0,0.1,2,0,0,9.09179,40,,3,3,,0,0,0,1
1658347170369,1,1010123456007,70,,0,0,0,1,0,,6.84211,19,0,0.022144,6,0,6.5,,3.64286,28,0,0.1,8,0,0,7.98124,40,,33,48,,0,0,0,1.14286
1658347170619,1,1010123456007,70,,0,0,0,1,0,,10.1304,23,0,0.1128,7,0,7.16667,,4.57143,42,0,0.105984,12,0,0,9.92212,40,,136,162,,0,0,0,1.07143
1658347170869,1,1010123456007,70,,0,0,0,1,0,,9.53571,28,0,0.1552,8,0,6.42857,,4.68421,38,0,0.1,11,0,0,10.1508,40,,211,245,,0,0,0,1.31579
1658347171119,1,1010123456007,70,,0,0,0,1,0,,9.95122,41,0,0.240448,12,0,6.5,,5.86842,38,0,0.124064,11,0,0,10.5223,40,,323,350,,0,0,0,1.34211
1658347171369,1,1010123456007,70,,0,0,0,1,0,,10.9545,44,0,0.31664,13,0,7,,5.74074,27,0,0.1,8,0,0,9.79162,40,,401,420,,0,0,0,1.22222
1658347171619,1,1010123456007,70,,0,0,0,1,0,,10.1944,36,0,0.225824,11,0,6.5,,3.14286,21,0,0.1,6,0,0,8.99247,40,,288,311,,0,0,0,1
1658347171869,1,1010123456007,70,,0,0,0,1,0,,10.3667,30,0,0.205408,9,0,6.71429,,6.11429,35,0,0.103168,10,0,0,10.0489,40,,293,304,,0,0,0,1.45714
1658347172119,1,1010123456007,70,,0,0,0,1,0,,10.6,45,0,0.312608,13,0,7,,4.42857,21,0,0.1,6,0,0,9.77351,40,,414,431,,0,0,0,1
1658347172369,1,1010123456007,70,,0,0,0,1,0,,10.4615,26,0,0.12304,7,0,7,,5.85714,28,0,0.1,8,0,0,11.3087,40,,153,166,,0,0,0,1
1658347172619,1,1010123456007,70,,0,0,0,1,0,,11.2727,22,0,0.169056,6,0,7.33333,,5.14286,21,0,0.1,6,0,0,9.52738,40,,188,207,,0,0,0,1.14286
1658347172869,1,1010123456007,70,,0,0,0,1,0,,11,48,0,0.263264,11,0,7.28571,,3.60714,28,0,0.1,8,0,0,8.69918,40,,386,408,,0,0,0,1
1658347173119,1,1010123456007,70,,0,0,0,1,0,,0,3,0,0.052768,3,0,7.5,,5.14286,14,0,0.1,4,0,0,10.2568,40,,4,6,,0,0,0,1.42857
1658347173369,1,1010123456007,70,,0,0,0,1,0,,10.4225,71,0,0.54688,20,0,6.5,,4.09524,42,0,0.111616,12,0,0,9.03203,40,,742,773,,0,0,0,1.07143
1658347173618,1,1010123456007,70,,0,0,0,1,0,,9.44444,18,0,0.0587631,5,0,6.83333,,2.85714,14,0,0.1,4,0,0,8.26371,40,,75,83,,0,0,0,1
1658347173869,1,1010123456007,70,,0,0,0,1,0,,6.6087,23,0,0.058304,6,0,6,,3.28571,28,0,0.1,8,0,0,8.5847,40,,85,101,,0,0,0,1
1658347174118,1,1010123456007,70,,0,0,0,1,0,,5.5,8,0,0.00578313,2,0,5.33333,,3.92857,14,0,0.1,4,0,0,9.55515,40,,11,15,,0,0,0,1.21429
1658347174369,1,1010123456007,70,,0,0,0,1,0,,6.97826,46,0,0.30624,14,0,5.33333,,3.20588,34,0,0.1,10,0,0,8.30237,40,,591,615,,0,0,0,1.20588
1658347174618,1,1010123456007,70,,0,0,0,1,0,,6.125,16,0,0.0593414,5,0,5.33333,,2.4,15,0,0.1,4,0,0,7.59624,40,,114,124,,0,0,0,1
1658347174869,1,1010123456007,70,,0,0,0,1,0,,8.2963,27,0,0.156704,9,0,5.57143,,3.45714,35,0,0.1,10,0,0,8.50436,40,,211,231,,0,0,0,1.08571
1658347175119,1,1010123456007,70,,0,0,0,1,0,,7.33846,65,0,0.444544,20,0,5.33333,,4.38462,26,0,0.1,8,0,0,9.08467,40,,827,845,,0,0,0,1
1658347175369,1,1010123456007,70,,0,0,0,1,0,,6.48387,31,0,0.152032,9,0,5.16667,,2.3125,32,0,0.1,9,44.4444,0,4.29861,40,,299,313,,0,0,0,5.21875
1658347175619,1,1010123456007,70,,0,0,0,1,0,,7.64706,17,0,0.058528,5,0,6,,2.14286,14,0,0.1,4,0,0,7.46309,40,,90,101,,0,0,0,1
