Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1658344926473,6,77,77,,0,0,0,0,0,,0,0,0,0.001024,1,0,0.1,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1658344926723,7,77,77,,0,0,0,0,0,,0,0,0,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1658344926973,7,77,77,,0,0,0,0,0,,0,0,0,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1658345352099,2,77,77,,0,0,0,0,0,,0,0,0,0,0,0,2.8,,2.16514,109,0,0,31,100,0,0.1,0,,0,0,,0,0,0,10
1658348188451,5,77,77,,0,0,0,0,0,,0,0,28,0,0,0,0.1,,0.1,4,0,0.1,1,0,0,14.1533,0,,456,456,,0,0,0,1
1658348188701,5,77,77,,0,0,0,0,0,,0,0,28,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,750,750,,0,0,0,0
1658348188952,5,77,77,,0,0,0,0,0,,0,0,28,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,750,750,,0,0,0,0
1658348189202,4,77,77,,0,0,0,0,0,,0,0,28,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,753,753,,0,0,0,0
1658349127488,4,77,77,,0,0,0,0,0,,0,0,0,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1658349127738,5,77,77,,0,0,0,0,0,,0,0,0,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1658349127988,5,77,77,,0,0,0,0,0,,0,0,0,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
